ID,Do you think the current tariff policy under the Trump administration will have a positive or negative impact on the overall U.S. economy and society?  (select),Please answer briefly in 2–3 sentences to support your opinion. (text),Do you think your opinion differs from that of most people in the US? (select)
10813,Negative,"Countries will be less inclined to do business with us, which will hurt our economy. US consumers will spend less money due to rising costs, which also hurts the economy. ",I’m not sure
10812,Negative,I believe the tariff policy is just a way for our current administration to tote their power and has no benefit for our economy. I believe it makes our manufacturing cost higher which makes goods higher for the average consumer. ,"No, my opinion aligns with the majority view"
10811,Negative,I feel it’s not only going to cost more for other countries but also cause the price of goods to go up for Americans ,"No, my opinion aligns with the majority view"
10810,Negative,Everything Trump does fails. We already have enough of things wearing our economy down. This will only add on to it.,I’m not sure
10809,Negative,"Trump's tariffs will just continue to cause strain in our relationships with our trading partners. Tariffs will also drive up prices, which companies will pass these costs onto us consumers.","No, my opinion aligns with the majority view"
10806,Negative,"It will raise prices, causing inflation, and we can't even make those products in the U.S., nor should we want to.  We should be focusing on higher value parts of the economy.",I’m not sure
10804,I am not sure,"Since I do not know of another time in history when so many tariffs have been put into place all at once, I can not really guess where these tariffs will take the country. There are many opinions floating around the internet, and some say things are going to go horribly wrong while others think things will be great. I think interest rates are deeply tied to this concept, but it seems like the Feds who control the interest rates do not have the same ideas as Trump, so that confusing me also.",I’m not sure
10801,Positive,Other countries benefit from tariffs. I don't see why American wouldn't.,"Yes, my opinion differs from the majority view"
10800,Negative,It increases the costs of goods and thereby leads to decrease in spending. It also alienates allies and the consumers pay for the cost not the countries.  ,"No, my opinion aligns with the majority view"
10795,Negative,"We've become isolationists. China used to buy 61% of our soybeans until this year for which they bought zero. They made a 20 year deal with Brazil and those markets are never coming back. This is just one example out of many. Not too mention their way ahead of us in technology, military strength, and the BRICS Nations now control the vast majority of the human population as well as the largest GDP in the world, surpassing that of the USA. No guarantee we won't elect someone worse in the future.","No, my opinion aligns with the majority view"
10791,Negative,I think in the short term we are going to have a negative impact with higher consumer prices and higher business costs. In the long term I believe things will even out as we may have more companies doing business here in the US and costs come down.,I’m not sure
10787,Negative,The trump tariffs will have a negative effect on the economy. It will cause prices to increase to levels people cant afford.,"No, my opinion aligns with the majority view"
10786,Negative,"Prices of all kinds of goods are currently going up due to tariffs, and will soon be jacked up so high people will stop buying all but the essentials. This will have a knock-on effect for US-based businesses as well as imports because many components and materials come from abroad. I fully expect another depression.","No, my opinion aligns with the majority view"
10785,Positive,The money collected by the US Government through tarrifs will help the US economy. As well as lowering the US citizen's taxes.,"Yes, my opinion differs from the majority view"
10782,Negative,"It put multiple countries including us in an hill battle and no one is sure why, the confusion is disturbing ","No, my opinion aligns with the majority view"
10779,Negative,The tariffs are already causing the fees of goods ordered online from international places to skyrocket. It is not helping citizens with their businesses and personal needs.,"No, my opinion aligns with the majority view"
10778,Negative,"The tariffs will result in higher prices on goods. The companies that produce those goods will not absorb all of those costs, so they will pass those costs on to the consumers. No matter how hard the administration tries to lie about it, that's what will happen, if not now, soon.","No, my opinion aligns with the majority view"
10777,I am not sure,I feel like I don't really know enough about it to make a guess on the positive or negative impact. I do hope it has a positive impact though. ,I’m not sure
10776,Positive,"The tariff policy will create more jobs within the american soil. It will cause us to be more reliant on our own domestic product, and it will save this country millions of dollars per year.","Yes, my opinion differs from the majority view"
10775,Negative,Tariffs are a task imposed on the people of the country imposing them. Prices are raised to compensate for the tariffs.,"No, my opinion aligns with the majority view"
10774,Positive,"I do think that we were getting raw trade deals. As long as the tariffs balance things out and we lower the burden on local taxes, I'm for them. I don't want just to hurt other countries with tariffs, I want everyone to pay their fair share.",I’m not sure
10773,Negative,"It will cause more hatred towards us, and the tariffs will effect the people. It will cause inflation and the cost will towards the people.","No, my opinion aligns with the majority view"
10772,Negative,Last time a president did it we had the great depression ,"No, my opinion aligns with the majority view"
10771,Negative,"Tariffs will be bad for the United States because it will increase the cost of goods. The citizens of the United States will struggle to pay the increase, which will result in economic slowdown. This can also lead to supple disruptions. ","No, my opinion aligns with the majority view"
10770,Negative,"I believe global collaboration on products and technologies is beneficial to the economy, and putting tariffs decreases the likelihood of cross-knowledge exchange and advancements.","No, my opinion aligns with the majority view"
10769,Negative,"I don't think this country has a strong enough manufacturing base to counter items being bought overseas , therefore putting a burden on the American public when purchasing goods.","No, my opinion aligns with the majority view"
10765,Negative,"Businesses will be raising prices due to the rising costs. Since the prices will be rising for Americans, this will have people shopping and spending less.  This will then lead to a negative impact on the US economy. which ",I’m not sure
10764,Positive,"It has a positive impact because it limits how much companies can out source to other countries, providing more jobs in state. It also puts more pressure for other countries to be in good graces with us.","Yes, my opinion differs from the majority view"
10762,Negative,Prices have gone up very significantly due to these tariffs. People are buying less and are suffering to pay essential bills for living. Wages aren’t increasing either so this is completely a negative change.,"No, my opinion aligns with the majority view"
10760,Negative,"The tariff policy under Trump's administration is and will be a negative consequence for the American economy. Prices of consumer goods have already increased at least 15% while American businesses do not know how long tariffs will last. Americans have also lost more jobs than gained as businesses cut back on their budgets, so Americans have less opportunity to earn more money that could have been reinvested back into the country's economy.",I’m not sure
10758,Positive,The US has been taken advantage of long enough. It is time to look out for us and our country. It is already bringing in millions of dollars.,"No, my opinion aligns with the majority view"
10756,Negative,"I think that the tariffs will cause prices to go up, which will hurt a lot of people. It will make poorer people have an even harder time buying groceries. ",I’m not sure
10755,I am not sure,I dont really understand the whole tariff policies. I know things are more expensive but i also dont know if it is a result from tariffs.,I’m not sure
10753,Negative,"Based on the market fluctuations every time Trump announces a new tariff, its clear that people feel more panicked about the tariffs. I also don't think companies will move back to the US in the way that Trump anticipates, so it will just result in more expensive goods. ","No, my opinion aligns with the majority view"
10752,I am not sure,I think we have to wait to see if there will be any benefits for us. Inflation is hurting our ability to buy as much as we used to.,"No, my opinion aligns with the majority view"
10751,Negative,I think tariffs are reactionary and ultimately will contribute to inflation without due regard for the broader economy. I think they will contribute to cost of living issues.,I’m not sure
10750,Negative,The Trump administration's tariff policy is negative for the U.S. economy because it's raising costs for consumers and businesses throughout the supply chain and provokes retaliatory tariffs as other countries hit back. Even things that are made in America rely on imported components. Rushed and scattershot policies with no apparent strategy like this hurt business stability and kill jobs and jack up inflation.  ,"No, my opinion aligns with the majority view"
10748,Negative,Everything costs more. Tariffs hurt the providers and consumers of products not the countries as a whole.,"Yes, my opinion differs from the majority view"
10747,Positive,"I believe the tariffs will help pay off a lot of the debt the country is in. Also, I think this might increase the amount of products sold here in America, which will improve the economy. Trump's tariff's are a good policy.",I’m not sure
10746,Negative,"The tariffs that Trump has proposed would destroy the US's overseas trade, which is, whether Trump like it or not, the backbone of our economy. There are goods commonly sold in the US that we CANNOT produce in the US, like coffee or bananas. The US's economic hegemony in the post-WWII era was built upon international trade. Also, the tariffs would disproportionately affect people living at or below the poverty level, which would drive large numbers of people into homelessness.","No, my opinion aligns with the majority view"
10745,Negative,Prices of imported goods that I consume are going up. I doubt it will force more fabrications on US soil.,"No, my opinion aligns with the majority view"
10742,Negative,"Tariffs end up costing the American public more money, because all of the cost of the tariffs gets passed along to us in the form of increased prices on goods.  I have already noticed that it's harder to find basic goods that I have never had a problem finding in past years, and prices have gone up on everything.  Small business owners are getting destroyed by the increased cost the tariffs are placing on their businesses as well.","No, my opinion aligns with the majority view"
10741,Negative,Tariffs raise prices for consumers. Businesses have to pay more to import and pass that extra cost along. they slow economic growth and make markets less efficient. They also cause ill-will between countries. ,"No, my opinion aligns with the majority view"
10740,Negative,It will only increase prices for the consumer. It will also negatively affect our relationship with foreign countries.,"No, my opinion aligns with the majority view"
10739,Negative,The tariffs are raising prices for the average consumer and adding significant chaos to business planning,"No, my opinion aligns with the majority view"
10736,Negative,"Tariffs mean the US government has to pay more for goods and services from abroad. With the pushback from other countries where Trump wants to impose tariffs, there is also greater risk that they will not want to provide goods and services to the US any longer or result in other negative consequences. ","No, my opinion aligns with the majority view"
10734,Negative,The current tariff policy under the Trump administration has a negative impact on the overall US society and economy. Things are extremely expensive and people are either cutting back or not spending at all. Plus it is making people not want to buy things that are not made in the United States due to the tariffs. ,"No, my opinion aligns with the majority view"
10733,Negative,I think it is negatively affecting the economy in general. It is part of the reason things are getting so expensive. ,"No, my opinion aligns with the majority view"
10731,Negative,It will cause other countries to not import goods to us. It will also increase prices of goods for Americans. I think it will hurt the economy.,"No, my opinion aligns with the majority view"
10729,Positive,The current tariff policy will encourage other countries to eliminate non-tariff barriers to American exports and reduce their own tariffs against American exports. This will lead to a greater amount of American exports and manufacturing production.,"Yes, my opinion differs from the majority view"
10728,Negative,Tariffs are taxes paid on imports to make them less desirable and make home made goods more desirable. If no goods are home made all imported items will be more expensive and the amount coming out of the consumers wallet,I’m not sure
10727,Negative,The percentage of tariffs is high. And I don’t think the Trump administration has concrete plans to address the long-term economic impact.,"No, my opinion aligns with the majority view"
10723,Negative,"IT IS DRIVING THE COST OF PRODUCTS TO BE HIGHER FOR CONSUMERS TO PURCHASE.  CONSUMERS ARE HAVING TO GO WITHOUT THE THINGS THEY DESPERATELY NEED, LIKE FOOD.","No, my opinion aligns with the majority view"
10722,Negative,I feel it will have a negative impact on unemployment. I feel it will continue to rise food prices as well,I’m not sure
10721,Positive,I believe that tariffs will lead to long term growth and companies producing goods in the United States.  There will be short term loss and pain but long term gains. ,I’m not sure
10720,Negative,It will lead to inflation. I t will also cause rift with other countries.,"No, my opinion aligns with the majority view"
10719,Positive,I think this helps take some much dependence away from relying on China and other foreign manufacturers. It helps America in the long term. ,I’m not sure
10715,Negative,Trump has no understanding of Tariffs.  He is putting Tariffs on countries that don't need Tariffs.  He is making the economy unstable and countries are turning to other trade partners.  ,"No, my opinion aligns with the majority view"
10713,Positive,If it gets the country out out of debt and in the positive it can only benefit the American people,"No, my opinion aligns with the majority view"
10712,Negative,The tariff policy will cause other foreign countries to retaliate with their tariffs.  This would cause the US economy to weaken because foreign companies would refuse to trade with us.,"No, my opinion aligns with the majority view"
10711,I am not sure,The idea of tariffs makes sense but the customers will end up paying the price. That’s my understanding.,I’m not sure
10708,Negative,"I think people don't realize that the ""tariff fees"" are not charged to the countries and are charged to the companies buying from those countries to import goods, and then those companies relay those fees onto the consumers to allow the companies can keep staying within their profit margins. It will result in a negative impact on the economy because people will buy less things due to not being able to afford them. ",I’m not sure
10707,Negative,It will raise prices and cause more economic hardships for no good reason.,"No, my opinion aligns with the majority view"
10706,Negative,"In Economics, specialization is the most efficient way for countries to produce goods and do business as it creates a comparative advantage. With tariffs Trump is claiming the USA will be able to self sustain and produce all goods and services within our own country. This is the opposite of comparative advantage because 1 country cannot specialize in every single thing. Therefore without comparative advantage and focus on profiting from specialization we will become more inefficient.","No, my opinion aligns with the majority view"
10703,Positive,I think that Trump knows what to do. Whatever he says or approves goes.,"Yes, my opinion differs from the majority view"
10702,I am not sure,"Economics can be tricky and a lot of times is based on theory, and you never know how it will play out in real life. You also don't know how other countries are going to react to tariffs and what their response will be. Lastly, you never know how much leverage you have until you do something in real life.",I’m not sure
10701,Negative,The costs will be paid by American consumers. This  will decrease the value of money for each person.  Inflation hurts.,"No, my opinion aligns with the majority view"
10699,Positive,"I believe, eventually, this will end up beneficial to the USA but it will probably take much time, effort and cooperation so that all nations can also be uplifted and other affects are avoided.","No, my opinion aligns with the majority view"
10698,Positive,I believe they will have a positive impact because they will be encouraging domestic manufacturing and reducing reliance on foreign supply chains. By making imported goods more expensive they create incentives for companies to invest in US based production and innovation. This shift could strengthen national economic resilience and create more local jobs over time.,"No, my opinion aligns with the majority view"
10697,Negative,"I see this tariff policy as a gimmick of sorts. Something else to cause arguments between people, something else to ""be a reason"" to raise prices, etc. ",I’m not sure
10696,Negative,"The rest of the world is literally laughing at the United States. The US is no longer the only country in power, and other countries are not going to be bullied into listening to them, esp. powers like China. The US people are going to deal with higher prices when the economy is already hard enough for normal people. ",I’m not sure
10695,Negative,"Tariffs act like a tax on imports, which raises costs for U.S. manufacturers and consumers, so prices go up and real purchasing power goes down. Trading partners usually retaliate, which hurts exporters, farm communities, and supply chain jobs. The policy also creates uncertainty that delays investment and hiring, weakening overall growth.","No, my opinion aligns with the majority view"
10693,Negative,"The impact on tariffs on the economy overall has been overwhelmingly negative so far, and I don't see why it won't continue to get worse.","No, my opinion aligns with the majority view"
10691,Negative,"The tariff policies are only serving to make good more expensive for American people. They overall are purely harmful to the domestic economy, as well as being harmful to international relations and business agreements.","No, my opinion aligns with the majority view"
10688,Negative,Prices are rising. Not all companies want to take on the cost of the tariffs.,"No, my opinion aligns with the majority view"
10687,Negative,Tariffs have created rifts in our relationships with other nations around the world. Other countries are becoming distrustful and resentful towards the U.S.. There is considerable uncertainty about how to respond to tariffs since Trump and his administration do not have concrete policies in place and seem to change their minds on a whim.,"No, my opinion aligns with the majority view"
10682,Positive,The current tariff policy under president trump has brought in more money for our country and been able to take a larger chunk out of our national debt than any president in the last 50 years or more. Prices have not gone up investment in the country has skyrocketed to levels never seen before and the economy is booming. Everyone on the left are idiots they just don't like the fact trump's better than they are.,"No, my opinion aligns with the majority view"
10681,Negative,Businesses are already raising their prices and this will especially affect local business owners. Everything overall is going to get more expensive and people are already starting to notice.,"No, my opinion aligns with the majority view"
10679,Negative,Many companies will raise prices to offset the increased cost and everyday people will not get any benefit in return,I’m not sure
10678,Positive,Trump is a very smart businessman and he knows what is best for the economy. There has been  positive indications that the economy is doing better under a tariff situation.,"No, my opinion aligns with the majority view"
10677,I am not sure,"I really don't know what tariffs will do to the economy. They are a gamble. It could result in creating more US jobs at the cost of higher prices, which would be worth it, or it could just raise prices and make companies leave the US more.","No, my opinion aligns with the majority view"
10676,Negative,"The cost is being paid by American businesses and thus American consumers. I don't think jobs are coming back, either, regardless of what Trump thinks the tariffs will do.",I’m not sure
10674,Negative,I really do not know much about it which makes it tough to answer. My guess is that since it is something new that will create some uncertainty. So that could have a negative effect on the economy.,I’m not sure
10673,Negative,Tarrifs are already having a negative impact on consumers who are having to spend more without income increasing. Small businesses are also feeling the impact and many risk not being able ot stay in business.,"No, my opinion aligns with the majority view"
10672,Negative,"The tariff policy is making everything we order online even more expensive than it already is. In today's economy the fact we have to pay more is so ridiculous, small businesses are struggling as well. ","No, my opinion aligns with the majority view"
10671,I am not sure,Not super familiar with it. I am in between because it can be a good thing but it might also make things less accessible and more expensive. ,"Yes, my opinion differs from the majority view"
10669,Positive,"I think it will have a positive impact in the long term for our economy to boost but it will be a struggle for US citizens to adapt to, and give us less access to items outside. I think that there should be loopholes. ",I’m not sure
10664,Positive,"The tariffs may cause some short-term price increases, but in the long run I believe they protect American jobs and help balance out unfair trade practices. It feels like a step toward strengthening U.S. industries instead of relying so heavily on other countries.","No, my opinion aligns with the majority view"
10663,Positive,Proof is in the pudding as they say. My spouse works in the trucking industry and work has never been better. ,"Yes, my opinion differs from the majority view"
10662,Positive,I believe he is financially conservative and an excellent business man. I think he has the right mindset and goalset for our country. ,"Yes, my opinion differs from the majority view"
10659,Positive,"I think in the long term, the tariffs will have a positive impact. It will create better deals with other countries, create more jobs in the US, and have higher-quality products being sold and bought in our country. ",I’m not sure
10658,Negative,"I think that it would negatively affect the U.S. economy. Businesses are doing the best they can to absorb the tariffs to ensure consumers won't be outraged, but eventually they would start needing to increase the price to pass the cost.","No, my opinion aligns with the majority view"
10654,Negative,We pay the tariffs.  This is a punishment on the public for not buying what the president wants us to buy.  ,"No, my opinion aligns with the majority view"
10650,Negative,I think the tariff policy will cause prices of goods to go up. I think this will be difficult for many consumers in the US because a lot of people are struggling financially already.,"No, my opinion aligns with the majority view"
10649,I am not sure,It all matters how much crushing China is beneficial to society. Shifting manufacturing to better countries and USA will greatly help those that make the transition. ,"No, my opinion aligns with the majority view"
10648,Positive,I believe the tariffs will cause companies to make their products in America. This will open up millions of new jobs.,I’m not sure
10647,Negative,"This is going to alienate the United States against other countries. We are already seeing countries stop buying our products and pushing back. We need to be involved in a global economy, and not just isolating ourselves.","No, my opinion aligns with the majority view"
10642,Negative,"It's already having a negative impact. Stocks started falling after Trump introduced his tariffs, and people's 401Ks are crashing.","No, my opinion aligns with the majority view"
10641,Negative,i don't see the benefit. anyone who understands how tariffs works understands that money isn't going to the US. it's a stupid tactic that i see no benefit to.,"No, my opinion aligns with the majority view"
10640,Negative,I feel that if the USA throws tariffs on other countries we will be slapped right back with the same,I’m not sure
10634,I am not sure,I've never experienced them as a adult. So I'm waiting to see,"Yes, my opinion differs from the majority view"
10633,Negative,"The current tariff policies will lead to price increases on all goods and services purchased. Even if something is produced locally often the machinery or parts used are made in another country.  Also, instead of increasing the cost on only the goods that have tariffs, stores will have an across the board increase to spread out the cost on imported goods. ",I’m not sure
10631,Negative,"Its a tax on us citizens, nothing more or less. Last time we enacted tariffs like Trump wants, we went into a depression ","No, my opinion aligns with the majority view"
10630,Negative,"These tariffs will NEVER work. It will not bring jobs or manufacturing back to the United States. Tariffs are destructive, punishing, and alienating the US. I HATE trump. ",I’m not sure
10627,Positive,I think that this policy will stop other countries from taking advantage of the U.S. by lowering the tariffs that are being charged to us. It will also bring manufacturing jobs back to the U.S. as companies will gain tax advantages from domestic production.,"No, my opinion aligns with the majority view"
10625,I am not sure,I need to see how it turns out in the future. I think the rates may be too high but I can see the pros and cons. I think it's too early to tell to create an opinion.,I’m not sure
10623,Negative,Overall it will hurt businesses here as prices will increase or countries will refuse shipping to America. As well as businesses will go out of business from delayed shipments. ,"No, my opinion aligns with the majority view"
10622,Negative,It will have a positive impact in the beginning but will result in a bigger negative impact as time goes on if not addressed properly.,"No, my opinion aligns with the majority view"
10619,Negative,"Tariffs are already affecting everyone with increased prices and ever increasing inflation. Despite the stories of the Trump administration, people pay the tariffs, not companies, so it's just removing investment/spending from other sectors.","No, my opinion aligns with the majority view"
10616,Negative,It is raising costs for Americans. It is also discouraging foreign trade and sales. It will damage our economy. ,"No, my opinion aligns with the majority view"
10615,Negative,"We the customers will pay more for products, building supplies, food because of these tariffs.","No, my opinion aligns with the majority view"
10614,Negative,"I think adding so many tariffs is not a good business plan and does not help anyone out in the end. For a long time, we have worked with other countries to design, build, and manufacture products. Some of these products would not be accessible to people if we could not work with other countries to cut manufacturing costs. In the long run, these tariffs represent us not wanting to collaborate in business anymore, and instead it just seems demeaning and controlling.","No, my opinion aligns with the majority view"
10612,Positive,"It hasn't led to the widespread price increases that everyone though. Perhaps it still will, but any encouraging to restore jobs and resources will eventually lead to better economic outcomes.","Yes, my opinion differs from the majority view"
10611,Negative,"I think several people are worried about ordering and having tariffs applied to their order when the item is about to be delivered. With less people purchasing items, the economy will suffer. This is also hurting small businesses who rely not only on international labor, but use global parts. This is true of larger businesses too. Setting up production within the US will take years. ","No, my opinion aligns with the majority view"
10610,Negative,It makes things more expensive. Things are already expensive and they just make it worse.,"No, my opinion aligns with the majority view"
10609,Negative,Tariffs are raising the prices on everything. I think it will only get worse.,"No, my opinion aligns with the majority view"
10607,Negative,I think it will raise prices for a lot of products that Americans use on regular basis. People would have a hard time adjusting to things getting even more expensive and will be upset.,"No, my opinion aligns with the majority view"
10606,Negative,"There are tariffs on things we don't even mainly produce here. I feel like if we were to place tariffs, we should at least make sure we have factories and other things in place to pick things up. As an example, even for a hobby like gaming, we've seen an unprecedented price increase on consoles that came out in 2020. Usually, consoles DROP in price as they enter the later part of their 'life-cycle', but now we're seeing price-hikes. It's absurd.","No, my opinion aligns with the majority view"
10602,Negative,Too many business cannot afford this. Customers will not purchase as they too cannot afford this. The economy suffers twofold.,"No, my opinion aligns with the majority view"
10601,Positive,"People will start buying products from the US instead of other countries. When prices are higher on imported goods, people will buy locally.",I’m not sure
10600,Negative,I think that tariffs are a tax on the consumer. It will drive up prices for the average American.,"No, my opinion aligns with the majority view"
10598,Positive,i think it will be positive eventually for the US . If it helps the US i am all for it countries have been taking advantage of the US for to long ,I’m not sure
10597,Positive,I think that charging other countries more money on imported goods will bring more money to our country and the money can be used for many things to help society. I think Trump understands tariffs and knows what he is doing and that he wouldn't of changed the tariffs if he didn't think they would have a long term positive impact on our country. ,I’m not sure
10595,Negative,Tarif will put an unnecessary pressure on taxpayers pockets and also ruffle the feathers of our already enemies and “allies”,I’m not sure
10593,Negative,American citizens are the ones hurting from tariffs - the extra tax is passed onto us.  It also discourages trade and hurts farmers who export their crops among others.,I’m not sure
10592,Positive,I think it's a good idea for supporting our own goods in the long run but short term it hurts.,"Yes, my opinion differs from the majority view"
10591,Negative,"I think that Trump's tariff 'policy' is too unpredictable to be of any lasting benefit to the US economy or society. Additionally, I think that his reasoning is based on a type of selfishness that is counter to what good the US could offer to the world. I find it hard to believe that there will be a positive outcome from this, apart from the possibility of addressing global income inequality once the current administration is out of office.",I’m not sure
10590,Negative,Tariffs will hurt business relationships with other countries. They will also lead to a massive increase in the price of goods,I’m not sure
10587,Positive,Short run it will be bad but in the long run it could really pay off as the US becomes less reliant on foreign goods.,"Yes, my opinion differs from the majority view"
10581,Negative,Tariffs will cause local businesses to raise their prices the same as the foreign businesses. ,"No, my opinion aligns with the majority view"
10580,Negative,So far it's meant I can't get things from other countries without tariffs after the de minimus was removed. Everything costs more now. People don't want to ship from other countries to the US.,"No, my opinion aligns with the majority view"
10579,Positive,"I think that the current tariff policy will have a positive impact on the overall U.S. economy and society because really the point of it, was to try to get US consumers to purchase less abroad, and focus on businesses that do operations in the US, including small businesses. The money that countries are getting ""taxed"" I think will help our economy as well as we are getting more money. ","Yes, my opinion differs from the majority view"
10577,Negative,"U.S. citizens were already struggling with paying the cost of most items prior to the tariffs being implemented. From personal experience, I have seen many items that I am now having to buy generic versions of because the brand name products' pricing has increased to prices that are unreasonable.","No, my opinion aligns with the majority view"
10576,Negative,Jobless claims are up.  Everyday items are increasing in cost as well.,"No, my opinion aligns with the majority view"
10573,Negative,"Tariffs are paid by the importer, here in the U.S. This is a stupid money grab by Trump to enrich himself at the expense of U.S. importers. Every single item along the supply chain will increase in price. This is economically bad for the economy and will cripple us.",I’m not sure
10570,Negative,"I feel like all that will happen with the tariffs is the cost of everything will go up substantially and products will be harder to find. also, he is making many enemies.   I do not see good coming out of it.",I’m not sure
10569,Negative,"Forcing companies to pay unnecessary tariffs at the whim of the administration will force companies to cut costs in other ways (cut labor, cut corners in production) and could potentially force companies to go under because they cannot afford to get the parts or materials they need from abroad. Shifting the higher cost to customers will likely make the products too expensive so people will stop buying. ","No, my opinion aligns with the majority view"
10568,Negative,Prices have gone up on practically everything and their is no relief in sight.,"No, my opinion aligns with the majority view"
10565,Negative,The prices of everything is increasing. The cost of living is very high and it is a struggle right now.,"No, my opinion aligns with the majority view"
10564,Negative,So many products require manufacturing and transport across borders that introducing friction from tariff's will inflate prices. I think the downstream effects of some of these decisions won't be immediately apparent but will cause negative outcomes.,"No, my opinion aligns with the majority view"
10563,Negative,I feel that what he's done has just started making other countries upset. This i feel had already showed negative impacts,"No, my opinion aligns with the majority view"
10562,Negative,Tariff is a tax on the American companies. This tax falls onto the American people as prices of goods inflate.,"No, my opinion aligns with the majority view"
10561,Negative,"the cost of prices have gone up, and the economy is a bit unstable. also our relationships with other countries is on and off. ","Yes, my opinion differs from the majority view"
10559,Negative,Trump just wants to make policy based on his ridiculous assumptions  based on bigotry and doesn't care about the well being of the country,"No, my opinion aligns with the majority view"
10556,Negative,The presidents tariffs have caused huge supply and demand issue in the us due to difficulties getting needed materials or supplies due to exorbitant costs,"No, my opinion aligns with the majority view"
10555,Negative,"Trump's tariffs will cause a great negative impact because this will not only affect Americans, but our economic and interpersonal relationships with other countries. Americans will have to pay more for our items because most of our items and materials we use daily are made from other countries. So we will be taxed heavily. It also makes other countries not want to trade with use, because of how Trump talks negatively of other countries ""taking advantage"" of America. ","No, my opinion aligns with the majority view"
10554,Negative,"Many countries have either stopped shipping to the US, or put so many barriers on shipping to the US that businesses are electively choosing not to ship to us. Many small businesses I follow on places like instagram have said they are shutting down specifically because of the tariff situation and how it makes it too hard for them to continue their business. ","No, my opinion aligns with the majority view"
10553,Negative,I think it is making the economy unstable. People are scared to spend money.,"No, my opinion aligns with the majority view"
10552,Negative,"Prices have already started to rise, and only a few companies have started to return to the US.","No, my opinion aligns with the majority view"
10548,Negative,Tariffs are adding costs for consumers and slowing demand. They are raising costs for domestic manufacturers who need to import inputs. And they are greatly raising costs for things not made domestically (like coffee).,"No, my opinion aligns with the majority view"
10547,Negative,I think tariffs will increase the costs of practically everything going forward. I do not believe there is any physical category that will be spared.,"No, my opinion aligns with the majority view"
10546,Negative,It's causing uncertainty and unnecessary panic for the American consumer as we don't know how and when the products we consume will increase. Leaving us in a limbo situation that we don't like or appreciate. Also doesn't he see that we will be the ones that will be paying more for the product and not the manufacture/country that he is imposing the tariff on.,I’m not sure
10545,Negative,"Tariffs raise import prices and part of this will be passed through to consumers. Further, many of Trump's tariffs are on goods which are not produced in the US, so there is no possibility to substitute towards american-made goods and this will only raise prices without providing more jobs.",I’m not sure
10544,Positive,"Tariffs on imported good help to level the playing field for domestic manufacturers. They encourage companies to invest domestically which in turn spurs the economy. Tariffs also serve as leverage in trade negotiations, which can and should be used to our advantage. ","No, my opinion aligns with the majority view"
10543,Negative,Goods and services from other countries will cost businesses more money. Those increases in prices will be passed onto the consumer and that will cause inflation.,"No, my opinion aligns with the majority view"
10540,Negative,"It will increase inflation, disrupt supply chain and bring retaliation towards US products.",I’m not sure
10539,Positive,I think it will bring in more money for America in the short term. In the long term more things will be produced in the USA and create more jobs.,I’m not sure
10537,Negative,Many small businesses are having to pay more for some of the things they need. This can easily make many small businesses go bankrupt.,"No, my opinion aligns with the majority view"
10536,Negative,"As far as I understand it, the American consumer has to cover the higher costs associated with these tariffs. I believe that this is putting an undue amount of stress on the average American in an already struggling economy. ","No, my opinion aligns with the majority view"
10533,Negative,"tariffs impose an extra burden on businesses which reduces or eliminates margins already established, the need for a new pricing model is introduced which raises the costs to the consumers. with the economy in the state its in it cripples the economy when consumers have less money to spend with no increase in income.","No, my opinion aligns with the majority view"
10532,Positive,"People in the United States should be buying more American product and good and less stuff from countries like China. Buying things from China, and Walmart are just hurting the local stores in our communities.",I’m not sure
10530,Negative,I think it will raise prices if things more than it already has because we get  a lot of things from China. People will spend less because everything is so much more expensive.,I’m not sure
10529,Negative,I think that imposing tariffs on other countries will make things even MORE expensive for Americans struggling to make ends meet in this economy.,I’m not sure
10528,Negative,Companies will raise prices to pay for the tariffs. There will also be less products on the shelves because companies won't be purchasing as much. The consumers will be paying more and having less to choose from.,"No, my opinion aligns with the majority view"
10526,Negative,It will drive up the cost of goods. It will increase inflation. It will make more Americans struggle to make ends meet.,"No, my opinion aligns with the majority view"
10525,Negative,Tariffs are just going to raise prices for consumers since companies aren't going to take the hit in revenue from the tariffs. This doesn't really help the average consumer whatsoever and further isolates us from the rest of the world which is bad.,"No, my opinion aligns with the majority view"
10523,Negative,"The cost is passed on to the consumer, clearly, which disproportionally affects lower and middle class people, like me. ",I’m not sure
10520,Negative,I think it will raise prices and people will buy less and avoid higher prices. I believe the economy will slow as a result. ,"No, my opinion aligns with the majority view"
10518,Negative,I think it will create instability in people's and company's mind given that this will change the purchasing behavior of people and companies. Companies that rely on export will suffer and customers will curb their spending to feel more financially secure.,"No, my opinion aligns with the majority view"
10515,Negative,The tariff policy makes goods more expensive for people in the U.S. A lot of our goods are imported and it's hard for people to avoid not buying them. It also damages our nation's relationship with other countries.,"No, my opinion aligns with the majority view"
10514,Positive,The trade deficit was a slow bleed for the economy. Making efforts to reduce the deficit was necessary despite the short term damage it will/has done.,"Yes, my opinion differs from the majority view"
10513,Negative,it has decreased trust and value in our country from other leaders. it caused them to make everything more expensive for us,I’m not sure
10512,Negative,"Trump's tariffs are already driving up the cost of consumer goods in the US. But perhaps more importantly, they're destroying our longstanding trade relationships with other nations and disrupting the global economy.","No, my opinion aligns with the majority view"
